f: 0		N	s	pc	pm	MaxG					pc	0.0625	0.125	0.1875	0.25	0.3125	0.375	0.4375	0.5	0.5625	0.625	0.6875	0.75	0.8125	0.875	0.9375	
Not get 800	26	900	2	0.0625	0.04	25	874	92043			pm																
Get 800	17	900	2	0.0625	0.08	25	992	108087			0.04	874	1058	947	822	913	880	970	1018	1114	829	849	1118	894	991	931	
Get 800	25	900	2	0.0625	0.12	25	882	97086			0.08	992	765	1032	971	923	1000	1024	845	1078	941	989	914	788	821	980	
Not get 800	26	900	2	0.0625	0.16	25	876	99952			0.12	882	821	1022	888	888	921	995	988	1221	947	935	1077	886	1060	823	
Get 800	21	900	2	0.0625	0.2	25	926	108392			0.16	876	815	1084	946	903	948	1036	911	1007	1088	1009	915	988	1018	1089	
Get 800	14	900	2	0.0625	0.24	25	1075	140361			0.2	926	1016	1015	1058	794	1027	869	908	922	1033	1012	965	846	1062	848	
Get 800	15	900	2	0.0625	0.28	25	1139	118327			0.24	1075	822	1053	1000	977	802	1127	906	842	978	822	1018	889	892	892	
Not get 800	26	900	2	0.0625	0.32	25	842	107894			0.28	1139	1076	952	992	943	1094	1003	768	1079	911	909	883	894	893	997	
Get 800	19	900	2	0.0625	0.36	25	967	126979			0.32	842	930	1020	929	974	975	931	989	1084	890	995	973	944	1065	995	
Not get 800	26	900	2	0.0625	0.4	25	864	111518			0.36	967	878	832	960	1023	819	995	774	973	1084	844	1085	1037	848	997	
Not get 800	26	900	2	0.0625	0.44	25	813	83247			0.4	864	797	854	978	849	961	957	921	1003	800	1051	994	925	947	1058	
Not get 800	26	900	2	0.0625	0.48	25	815	87254			0.44	813	921	843	971	976	1005	1022	953	876	1009	1018	953	809	972	883	
Not get 800	26	900	2	0.0625	0.52	25	763	80957			0.48	815	983	885	983	1001	991	835	945	931	855	1041	1084	844	815	1054	
Get 800	15	900	2	0.0625	0.56	25	1076	105600			0.52	763	1022	955	933	1010	1014	863	1029	1015	832	947	1102	975	1115	943	
Get 800	21	900	2	0.0625	0.6	25	892	95450			0.56	1076	1027	798	933	914	880	1058	1016	959	953	962	937	1023	1135	1064	
Get 800	17	900	2	0.0625	0.64	25	941	96150			0.6	892	796	862	921	871	841	1072	968	904	824	976	892	1001	950	907	
Not get 800	26	900	2	0.0625	0.68	25	733	85565			0.64	941	840	937	928	810	853	871	913	937	955	821	877	969	870	974	
Get 800	25	900	2	0.0625	0.72	25	902	97447			0.68	733	1026	886	894	926	916	851	979	1066	815	890	877	955	894	899	
Get 800	20	900	2	0.0625	0.76	25	880	96034			0.72	902	876	735	794	911	1017	818	986	895	948	1013	959	856	939	962	
Not get 800	26	900	2	0.0625	0.8	25	809	82440			0.76	880	853	822	887	786	942	811	858	716	980	781	884	862	849	964	
Get 800	16	900	2	0.0625	0.84	25	971	99105			0.8	809	864	888	852	830	879	839	777	791	814	963	896	855	962	976	
Not get 800	26	900	2	0.0625	0.88	25	799	86838			0.84	971	919	854	933	924	709	845	873	693	906	941	840	957	951	869	
Get 800	23	900	2	0.0625	0.92	25	905	84818			0.88	799	794	819	935	869	986	842	900	794	1023	791	821	933	793	811	
Not get 800	26	900	2	0.0625	0.96	25	712	82384			0.92	905	914	958	842	797	856	837	848	952	840	757	732	700	811	949	
Get 800	14	900	2	0.125	0.04	25	1058	103740			0.96	712	761	961	949	812	852	790	775	839	766	820	748	799	793	912	
Not get 800	26	900	2	0.125	0.08	25	765	82275																			
Not get 800	26	900	2	0.125	0.12	25	821	87808																			
Not get 800	26	900	2	0.125	0.16	25	815	85537																			
Get 800	18	900	2	0.125	0.2	25	1016	96428																			
